HugoSymbol	grch38RefSeq	grch38Isoform
ARID5A	NM_212481.1	ENST00000357485
ARID5B	NM_032199.2	ENST00000279873
ASCL1	NM_004316.4	ENST00000266744
ASXL1	NM_015338.5	ENST00000375687
ASXL2	NM_018263.4	ENST00000435504
ASXL3	NM_030632.3	ENST00000269197
ATF1	NM_005171.4	ENST00000262053
ATG5	NM_004849.4	ENST00000369076
ATIC	NM_004044	ENST00000236959
ATM	NM_000051.3	ENST00000278616
ATMIN	NM_015251.3	ENST00000299575
ATP1A1	NM_000701	ENST00000295598
ATP6AP1	NM_001183.5	ENST00000369762
ATP6V1B2	NM_001693.3	ENST00000276390
ATR	NM_001184.3	ENST00000350721
ATRIP	NM_130384	ENST00000320211
ATRX	NM_000489.3	ENST00000373344
ATXN2	NM_002973.3	ENST00000550104
ATXN7		ENST00000522345
AURKA	NM_003600.2	ENST00000312783
AURKB	NM_004217.3	ENST00000585124
AURKC	NM_001015878.2	ENST00000302804
AVIL	NM_006576.5	ENST00000549994
AXIN1	NM_003502.3	ENST00000262320
AXIN2	NM_004655.3	ENST00000307078
AXL	NM_021913.4	ENST00000301178
B2M	NM_004048.2	ENST00000559916
BAALC		ENST00000297574
BABAM1	NM_001033549.1	ENST00000359435
BABAM2	NM_199191.3	ENST00000379624
BACH1	NM_001186.4	ENST00000286800
BACH2	NM_001170794.1	ENST00000257749
BAP1	NM_004656.3	ENST00000460680
BARD1	NM_000465.2	ENST00000260947
BBC3	NM_001127240.2	ENST00000449228
BCL10	NM_003921.4	ENST00000648566
BCL11B	NM_138576.3	ENST00000357195
BCL2	NM_000633.2	ENST00000333681
BCL2L1	NM_138578.1	ENST00000307677
BCL2L11	NM_138621.4	ENST00000393256
BCL2L2	NM_004050	ENST00000250405
BCL3	NM_005178	ENST00000164227
BCL6	NM_001706.4	ENST00000232014
BCL7A	NM_001024808	ENST00000261822
BCL9	NM_004326.3	ENST00000234739
BCL9L	NM_001378213.1	ENST00000683865
BCOR	NM_001123385.1	ENST00000378444
BCORL1	NM_021946.4	ENST00000218147
BCR	NM_004327.3	ENST00000305877
BIRC3	NM_182962.2	ENST00000263464
BIRC5	NM_001168.3	ENST00000350051
BLM	NM_000057.2	ENST00000355112
BMPR1A	NM_004329.2	ENST00000372037
